Month,Week in Month,Global Week,Sales (pcs),Event Name,Defect Rate,Recovery Rate,Crack Share,Total Produced,Total Defects,Cracked,Fat Bloom,Good Tablea,Reprocessed,Net Usable Output
January,1,1,"8,200",Christmas Giveaway/Resellers,2.70%,62.00%,52.00%,"8,285",224,116,108,"8,061",139,"8,200"
January,2,2,"6,500",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"6,569",204,98,106,"6,365",135,"6,500"
January,3,3,"7,800",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"7,892",229,126,103,"7,663",137,"7,800"
January,4,4,"8,400",Resellers/Coffee Shops,3.30%,68.00%,50.00%,"8,490",280,140,140,"8,210",190,"8,400"
February,1,5,"10,400",Valentines Giveaway/Resellers,2.80%,63.00%,53.00%,"10,509",294,156,138,"10,215",185,"10,400"
February,2,6,"12,100",Valentines Giveaway/Wedding/Resellers,3.40%,70.00%,47.00%,"12,225",416,196,220,"11,809",291,"12,100"
February,3,7,"9,500",Resellers/Coffee Shops,3.00%,61.00%,56.00%,"9,612",288,161,127,"9,324",176,"9,500"
February,4,8,"8,800",Resellers/Coffee Shops,2.60%,58.00%,49.00%,"8,897",231,113,118,"8,666",134,"8,800"
March,1,9,"8,200",Resellers/Wedding/Baptism/Reunion,3.20%,67.00%,54.00%,"8,288",265,143,122,"8,023",178,"8,201"
March,2,10,"9,500",Resellers/Coffee Shops,2.90%,64.00%,51.00%,"9,600",278,142,136,"9,322",178,"9,500"
March,3,11,"8,400",Resellers/Coffee Shops,3.10%,65.00%,52.00%,"8,492",263,137,126,"8,229",171,"8,400"
March,4,12,"7,200",Reseller,2.70%,59.00%,50.00%,"7,281",197,99,98,"7,084",116,"7,200"
April,1,13,"14,400",Resellers/Wedding/Baptism/Reunion,2.70%,62.00%,52.00%,"14,549",393,204,189,"14,156",244,"14,400"
April,2,14,"12,100",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"12,229",379,182,197,"11,850",250,"12,100"
April,3,15,"10,500",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"10,623",308,169,139,"10,315",185,"10,500"
April,4,16,"18,200",Resellers/Coffee Shops/Chocolate Factory,3.30%,68.00%,50.00%,"18,394",607,304,303,"17,787",413,"18,200"
May,1,17,"9,500",Resellers/Coffee Shops,2.80%,63.00%,53.00%,"9,599",269,143,126,"9,330",169,"9,499"
May,2,18,"11,400",Wedding/Resellers,3.40%,70.00%,47.00%,"11,517",392,184,208,"11,125",274,"11,399"
May,3,19,"7,800",Resellers/Coffee Shops,3.00%,61.00%,56.00%,"7,892",237,133,104,"7,655",145,"7,800"
May,4,20,"8,200",Wedding/Resellers,2.60%,58.00%,49.00%,"8,291",216,106,110,"8,075",125,"8,200"
June,1,21,"9,400",Resellers/Wedding/Baptism,3.20%,67.00%,54.00%,"9,500",304,164,140,"9,196",204,"9,400"
