Month,Week in Month,Global Week,Sales (pcs),Event Name,Defect Rate,Recovery Rate,Crack Share,Total Produced,Total Defects,Cracked,Fat Bloom,Good Tablea,Reprocessed,Net Usable Output
January,1,1,"22,400",Christmas Giveaway/Resellers,2.70%,62.00%,52.00%,"22,632",611,318,293,"22,021",379,"22,400"
January,2,2,"19,800",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"20,011",620,298,322,"19,391",409,"19,800"
January,3,3,"24,500",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"24,788",719,395,324,"24,069",431,"24,500"
January,4,4,"26,200",Resellers/Coffee Shops,3.30%,68.00%,50.00%,"26,480",874,437,437,"25,606",594,"26,200"
February,1,5,"26,800",Valentines Giveaway/Resellers,2.80%,63.00%,53.00%,"27,081",758,402,356,"26,323",478,"26,801"
February,2,6,"29,400",Valentines Giveaway/Wedding/Resellers,3.40%,70.00%,47.00%,"29,703","1,010",475,535,"28,693",707,"29,400"
February,3,7,"23,100",Resellers/Coffee Shops,3.00%,61.00%,56.00%,"23,373",701,393,308,"22,672",428,"23,100"
February,4,8,"22,500",Resellers/Coffee Shops,2.60%,58.00%,49.00%,"22,748",591,290,301,"22,157",343,"22,500"
March,1,9,"24,200",Resellers/Wedding/Baptism/Reunion,3.20%,67.00%,54.00%,"24,458",783,423,360,"23,675",525,"24,200"
March,2,10,"27,500",Resellers/Coffee Shops,2.90%,64.00%,51.00%,"27,790",806,411,395,"26,984",516,"27,500"
March,3,11,"22,400",Resellers/Coffee Shops,3.10%,65.00%,52.00%,"22,646",702,365,337,"21,944",456,"22,400"
March,4,12,"20,200",Reseller,2.70%,59.00%,50.00%,"20,426",552,276,276,"19,874",326,"20,200"
April,1,13,"35,200",Resellers/Wedding/Baptism/Reunion,2.70%,62.00%,52.00%,"35,565",960,499,461,"34,605",595,"35,200"
April,2,14,"28,400",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"28,703",890,427,463,"27,813",587,"28,400"
April,3,15,"25,100",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"25,395",736,405,331,"24,659",442,"25,101"
April,4,16,"48,500",Resellers/Coffee Shops/Chocolate Factory,3.30%,68.00%,50.00%,"49,018","1,618",809,809,"47,400","1,100","48,500"
May,1,17,"21,500",Resellers/Coffee Shops,2.80%,63.00%,53.00%,"21,725",608,322,286,"21,117",383,"21,500"
May,2,18,"25,400",Wedding/Resellers,3.40%,70.00%,47.00%,"25,662",873,410,463,"24,789",611,"25,400"
May,3,19,"17,800",Resellers/Coffee Shops,3.00%,61.00%,56.00%,"18,011",540,302,238,"17,471",329,"17,800"
May,4,20,"20,500",Wedding/Resellers,2.60%,58.00%,49.00%,"20,726",539,264,275,"20,187",313,"20,500"
June,1,21,"22,400",Resellers/Wedding/Baptism,3.20%,67.00%,54.00%,"22,639",724,391,333,"21,915",485,"22,400"
June,2,22,"17,200",Resellers/Wedding/Baptism,2.90%,64.00%,51.00%,"17,381",504,257,247,"16,877",323,"17,200"
June,3,23,"23,500",Resellers/Coffee Shops,3.10%,65.00%,52.00%,"23,758",736,383,353,"23,022",478,"23,500"
June,4,24,"19,400",Resellers/Coffee Shops,2.70%,59.00%,50.00%,"19,617",530,265,265,"19,087",313,"19,400"
July,1,25,"18,200",Resellers,2.70%,62.00%,52.00%,"18,389",497,258,239,"17,892",308,"18,200"
July,2,26,"22,500",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"22,740",705,338,367,"22,035",465,"22,500"
July,3,27,"19,400",Resellers/Wedding,2.90%,60.00%,55.00%,"19,628",569,313,256,"19,059",341,"19,400"
July,4,28,"16,800",Resellers,3.30%,68.00%,50.00%,"16,979",560,280,280,"16,419",381,"16,800"
August,1,29,"9,400",Resellers/Coffee Shops,2.80%,63.00%,53.00%,"9,498",266,141,125,"9,232",168,"9,400"
August,2,30,"6,200",Resellers,3.40%,70.00%,47.00%,"6,264",213,100,113,"6,051",149,"6,200"
August,3,31,"5,100",Resellers,3.00%,61.00%,56.00%,"5,160",155,87,68,"5,005",95,"5,100"
August,4,32,"11,500",Resellers/Coffee Shops,2.60%,58.00%,49.00%,"11,627",302,148,154,"11,325",175,"11,500"
September,1,33,"19,200",Resellers/Coffee Shops,3.20%,67.00%,54.00%,"19,405",621,335,286,"18,784",416,"19,200"
September,2,34,"23,500",Resellers/Coffee Shops,2.90%,64.00%,51.00%,"23,748",689,351,338,"23,059",441,"23,500"
September,3,35,"28,400",Resellers/Wedding/Baptism/Reunion,3.10%,65.00%,52.00%,"28,712",890,463,427,"27,822",579,"28,401"
September,4,36,"26,100",Resellers/Wedding,2.70%,59.00%,50.00%,"26,392",713,357,356,"25,679",421,"26,100"
October,1,37,"22,500",Resellers/Coffee Shops,2.70%,62.00%,52.00%,"22,733",614,319,295,"22,119",381,"22,500"
October,2,38,"28,100",Resellers/Wedding,3.10%,66.00%,48.00%,"28,399",880,422,458,"27,519",581,"28,100"
October,3,39,"32,400",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"32,780",951,523,428,"31,829",571,"32,400"
October,4,40,"36,800",Resellers/Christmas Giveaway/Wedding,3.30%,68.00%,50.00%,"37,193","1,227",614,613,"35,966",834,"36,800"
November,1,41,"46,200",Resellers/Christmas Giveaway/Wedding,2.80%,63.00%,53.00%,"46,684","1,307",693,614,"45,377",823,"46,200"
November,2,42,"42,400",Resellers/Christmas Giveaway/Wedding,3.40%,70.00%,47.00%,"42,837","1,456",684,772,"41,381","1,019","42,400"
November,3,43,"45,500",Resellers/Coffee Shops/Christmas Giveaways,3.00%,61.00%,56.00%,"46,039","1,381",773,608,"44,658",842,"45,500"
November,4,44,"38,200",Resellers/Christmas Giveaway/Wedding,2.60%,58.00%,49.00%,"38,622","1,004",492,512,"37,618",582,"38,200"
December,1,45,"62,400",Resellers/Christmas Giveaway/Wedding,3.20%,67.00%,54.00%,"63,066","2,018","1,090",928,"61,048","1,352","62,400"
December,2,46,"75,200",Resellers/Christmas Giveaway/Wedding,2.90%,64.00%,51.00%,"75,993","2,204","1,124","1,080","73,789","1,411","75,200"
December,3,47,"55,100",Resellers/Christmas Giveaway/Coffee Shops,3.10%,65.00%,52.00%,"55,704","1,727",898,829,"53,977","1,123","55,100"
December,4,48,"42,400",Resellers/Christmas Giveaway/Wedding,2.70%,59.00%,50.00%,"42,875","1,158",579,579,"41,717",683,"42,400"
