Month,Week in Month,Global Week,Sales (pcs),Event Name,Defect Rate,Recovery Rate,Crack Share,Total Produced,Total Defects,Cracked,Fat Bloom,Good Tablea,Reprocessed,Net Usable Output
January,1,1,"40,000",Christmas Giveaways/Resellers,2.70%,62.00%,52.00%,"40,415","1,091",567,524,"39,324",676,"40,000"
January,2,2,"47,000",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"47,501","1,473",707,766,"46,028",972,"47,000"
January,3,3,"50,000",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"50,587","1,467",807,660,"49,120",880,"50,000"
January,4,4,"55,000",Resellers/Coffee Shops,3.30%,68.00%,50.00%,"55,587","1,834",917,917,"53,753","1,247","55,000"
February,1,5,"70,000",Valentines Giveaway/Resellers,2.80%,63.00%,53.00%,"70,733","1,981","1,050",931,"68,752","1,248","70,000"
February,2,6,"65,000",Valentines Giveaway/Resellers,3.40%,70.00%,47.00%,"65,670","2,233","1,050","1,183","63,437","1,563","65,000"
February,3,7,"45,000",Resellers/Coffee Shops,3.00%,61.00%,56.00%,"45,533","1,366",765,601,"44,167",833,"45,000"
February,4,8,"30,000",Resellers/Coffee Shops,2.60%,58.00%,49.00%,"30,331",789,387,402,"29,542",458,"30,000"
March,1,9,"25,000",Resellers,3.20%,67.00%,54.00%,"25,267",809,437,372,"24,458",542,"25,000"
March,2,10,"20,000",Pasalubong Centers,2.90%,64.00%,51.00%,"20,211",586,299,287,"19,625",375,"20,000"
March,3,11,"23,000",Resellers,3.10%,65.00%,52.00%,"23,252",721,375,346,"22,531",469,"23,000"
March,4,12,"20,000",Resellers,2.70%,59.00%,50.00%,"20,224",546,273,273,"19,678",322,"20,000"
April,1,13,"66,000",Chocolate Company Supply,2.70%,62.00%,52.00%,"66,684","1,800",936,864,"64,884","1,116","66,000"
April,2,14,"45,000",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"45,479","1,410",677,733,"44,069",931,"45,000"
April,3,15,"20,000",Resellers,2.90%,60.00%,55.00%,"20,235",587,323,264,"19,648",352,"20,000"
April,4,16,"15,000",Resellers,3.30%,68.00%,50.00%,"15,160",500,250,250,"14,660",340,"15,000"
May,1,17,"25,000",Resellers,2.80%,63.00%,53.00%,"25,262",707,375,332,"24,555",445,"25,000"
May,2,18,"40,000",Wedding/Baptism/Resellers,3.40%,70.00%,47.00%,"40,412","1,374",646,728,"39,038",962,"40,000"
May,3,19,"24,000",Wedding/Resellers,3.00%,61.00%,56.00%,"24,284",729,408,321,"23,555",445,"24,000"
May,4,20,"18,000",Resellers,2.60%,58.00%,49.00%,"18,199",473,232,241,"17,726",274,"18,000"
June,1,21,"20,000",Wedding/Baptism/Resellers,3.20%,67.00%,54.00%,"20,213",647,349,298,"19,566",433,"19,999"
June,2,22,"10,000",Resellers,2.90%,64.00%,51.00%,"10,106",293,149,144,"9,813",188,"10,001"
June,3,23,"12,000",Resellers,3.10%,65.00%,52.00%,"12,132",376,196,180,"11,756",244,"12,000"
June,4,24,"25,000",Wedding/Resellers,2.70%,59.00%,50.00%,"25,280",683,342,341,"24,597",403,"25,000"
July,1,25,"20,000",Resellers/Coffee Shops,2.70%,62.00%,52.00%,"20,207",546,284,262,"19,661",339,"20,000"
July,2,26,"22,000",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"22,234",689,331,358,"21,545",455,"22,000"
